,书名,作者,评分,a,评价人数,b,简介
66,"福尔摩斯探案全集（上中下）
","['[英] 阿·柯南道尔 ', ' 丁钟华 等 ', ' 群众出版社 ', ' 1981-8 ', ' 53.00元', '68.00元\n']","9.2
","数：(
","                 52973人评价
","             )
","侦探小说鼻祖
"
67,"遇见未知的自己
","['张德芬 ', ' 华夏出版社 ', ' 2008-1 ', ' 29.00\n']","8.1
","数：(
","                 58335人评价
","             )
","都市灵修速成
"
68,"茶花女
","['小仲马 ', ' 王振孙 ', ' 外国文学出版社 ', ' 1997-3 ', ' 9.00元\n']","8.2
","数：(
","                 57709人评价
","             )
","妓女应当拥有爱情吗？
"
69,"白鹿原
","['陈忠实 ', ' 人民文学出版社 ', ' 1997-12 ', ' 28.00元\n']","8.6
","数：(
","                 53214人评价
","             )
","中国乡村史诗
"
70,"情书
","['[日] 岩井俊二 ', ' 穆晓芳 ', ' 天津人民出版社 ', ' 2004-7 ', ' 18.00元\n']","8.6
","数：(
","                 53696人评价
","             )
","一场误会中的两段爱情，东方式的含蓄隐忍
"
71,"一个陌生女人的来信
","['[奥] 斯台芬·茨威格 ', ' 张玉书 ', ' 上海译文出版社 ', ' 2007-7 ', ' 20.00元\n']","8.7
","数：(
","                 53686人评价
","             )
","暗恋的极致
"
72,"沉默的大多数
","['王小波 ', ' 中国青年出版社 ', ' 1997-10 ', ' 27.00元\n']","9.1
","数：(
","                 50509人评价
","             )
","沉默是沉默者的通行证
"
73,"神雕侠侣
","['金庸 ', ' 有1996年11月北平第4次印本 ', ' 生活·读书·新知三联书店 ', ' 1994-5 ', ' 76.80元\n']","8.8
","数：(
","                 50653人评价
","             )
","至情至性，情大于武
"
74,"局外人
","['[法] 阿尔贝·加缪 ', ' 柳鸣九 ', ' 上海译文出版社 ', ' 2010-9 ', ' 22.00元\n']","9.0
","数：(
","                 47372人评价
","             )
","人生在世，永远也不该演戏作假
"
75,"鲁滨逊漂流记
","['[英] 笛福 ', ' 马静 ', ' 广西民族出版社 ', ' 2002-1 ', ' 9.20元\n']","8.0
","数：(
","                 53399人评价
","             )
","最早的荒野求生
"
76,"东方快车谋杀案
","['[英] 阿加莎·克里斯蒂 ', ' 陈尧光 ', ' 人民文学出版社 ', ' 2006-5 ', ' 18.00元\n']","9.0
","数：(
","                 46800人评价
","             )
","谋杀诡计惊人，波洛的抉择耐人寻味
"
77,"当我谈跑步时我谈些什么
","['[日] 村上春树 ', ' 施小炜 ', ' 南海出版公司 ', ' 2009-1 ', ' 25.00\n']","8.1
","数：(
","                 52202人评价
","             )
","村上同志告诉我们，身体是革命的本钱
"
78,"肖申克的救赎
","['[美] 斯蒂芬·金 ', ' 施寄青 ', ' 人民文学出版社 ', ' 2006-7 ', ' 29.90元\n']","9.1
","数：(
","                 45066人评价
","             )
","希望让人自由，电影实在太有名
"
79,"这些人，那些事
","['吴念真 ', ' 译林出版社 ', ' 2011-9 ', ' 28.00元\n']","8.8
","数：(
","                 46056人评价
","             )
","平淡叙述下的惊心动魄
"
80,"巴黎圣母院
","['[法]雨果 ', ' 陈敬容 ', ' 人民文学出版社 ', ' 1982-6 ', ' 22.50元\n']","8.3
","数：(
","                 48086人评价
","             )
","潜藏于残缺下的美与崇高
"
81,"这些都是你给我的爱
","['文：安东尼 ', ' 长江文艺出版社 ', ' 2010-3 ', ' 24.80元\n']","8.4
","数：(
","                 46775人评价
","             )
","只言片语的温暖
"
